#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       198.000       3290.3506
CI  delta       199.000       3241.4800
CI  delta       200.000       3193.5668
CI  delta       201.000       3146.5990
CI  delta       202.000       3100.5409
CI  delta       203.000       3055.3862
CI  delta       204.000       3011.0993
CI  delta       205.000       2967.6621
CI  delta       206.000       2925.0686
CI  delta       207.000       2883.2709
CI  delta       208.000       2842.2751
CI  delta       209.000       2802.0513
CI  delta       210.000       2762.5814
CI  delta       211.000       2723.8475
CI  delta       212.000       2685.8377
CI  delta       213.000       2648.5280
CI  delta       214.000       2611.9064
CI  delta       215.000       2575.9671
CI  delta       216.000       2540.6739
CI  delta       217.000       2506.0271
CI  delta       218.000       2472.0025
CI  delta       219.000       2438.5884
CI  delta       220.000       2405.7846
CI  delta       221.000       2373.5612
CI  delta       222.000       2341.9123
CI  delta       223.000       2310.8258
CI  delta       224.000       2280.2780
CI  delta       225.000       2250.2686
CI  delta       226.000       2220.7919
CI  delta       227.000       2191.8178
CI  delta       228.000       2163.3523
CI  delta       229.000       2135.3775
CI  delta       230.000       2107.8754
CI  delta       231.000       2080.8521
CI  delta       232.000       2054.2835
CI  delta       233.000       2028.1697
CI  delta       234.000       2002.4987
CI  delta       235.000       1977.2526
CI  delta       236.000       1952.4313
CI  delta       237.000       1928.0229
CI  delta       238.000       1904.0214
CI  delta       239.000       1880.4149
CI  delta       240.000       1857.1973
CI  delta       241.000       1834.3627
CI  delta       242.000       1811.8991
CI  delta       243.000       1789.8005
CI  delta       244.000       1768.0609
CI  delta       245.000       1746.6744
CI  delta       246.000       1725.6230
CI  delta       247.000       1704.9187
CI  delta       248.000       1684.5375
CI  delta       249.000       1664.4794
CI  delta       250.000       1644.7445
CI  delta       251.000       1625.3147
CI  delta       252.000       1606.1961
CI  delta       253.000       1587.3707
CI  delta       254.000       1568.8385
CI  delta       255.000       1550.5936
CI  delta       256.000       1532.6328
CI  delta       257.000       1514.9474
CI  delta       258.000       1497.5312
CI  delta       259.000       1480.3873
CI  delta       260.000       1463.4977
CI  delta       261.000       1446.8654
CI  delta       262.000       1430.4844
CI  delta       263.000       1414.3488
CI  delta       264.000       1398.4585
CI  delta       265.000       1382.8016
CI  delta       266.000       1367.3811
CI  delta       267.000       1352.1849
CI  delta       268.000       1337.2132
CI  delta       269.000       1322.4658
CI  delta       270.000       1307.9339
CI  delta       271.000       1293.6114
CI  delta       272.000       1279.4983
CI  delta       273.000       1265.5917
CI  delta       274.000       1251.8796
CI  delta       275.000       1238.3739
CI  delta       276.000       1225.0567
CI  delta       277.000       1211.9280
CI  delta       278.000       1198.9908
CI  delta       279.000       1186.2331
CI  delta       280.000       1173.6579
CI  delta       281.000       1161.2592
CI  delta       282.000       1149.0341
CI  delta       283.000       1136.9795
CI  delta       284.000       1125.0954
CI  delta       285.000       1113.3759
CI  delta       286.000       1101.8180
CI  delta       287.000       1090.4186
CI  delta       288.000       1079.1779
CI  delta       289.000       1068.0867
CI  delta       290.000       1057.1511
CI  delta       291.000       1046.3651
CI  delta       292.000       1035.7197
CI  delta       293.000       1025.2269
CI  delta       294.000       1014.8687
CI  delta       295.000       1004.6512
CI  delta       296.000       994.57131
CI  delta       297.000       984.62305
CI  delta       298.000       974.80943
CI  delta       299.000       965.12447
CI  delta       300.000       955.57115
CI  delta       301.000       946.14050
CI  delta       302.000       936.83252
CI  delta       303.000       927.64722
CI  delta       304.000       918.58159
CI  delta       305.000       909.63265
CI  delta       306.000       900.80338
CI  delta       307.000       892.08482
CI  delta       308.000       883.47696
CI  delta       309.000       874.98279
CI  delta       310.000       866.59634
CI  delta       311.000       858.31760
CI  delta       312.000       850.14357
CI  delta       313.000       842.07127
CI  delta       314.000       834.10070
CI  delta       315.000       826.23185
CI  delta       316.000       818.46174
CI  delta       317.000       810.78737
CI  delta       318.000       803.21174
CI  delta       319.000       795.72586
CI  delta       320.000       788.33573
CI  delta       321.000       781.03535
CI  delta       322.000       773.82474
CI  delta       323.000       766.70388
CI  delta       324.000       759.66979
CI  delta       325.000       752.72247
