#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  alpha       184.000       1047.0996
HI  alpha       185.000       1030.2513
HI  alpha       186.000       1013.7679
HI  alpha       187.000       997.63133
HI  alpha       188.000       981.84167
HI  alpha       189.000       966.37498
HI  alpha       190.000       951.23724
HI  alpha       191.000       936.41649
HI  alpha       192.000       921.89479
HI  alpha       193.000       907.67812
HI  alpha       194.000       893.74853
HI  alpha       195.000       880.10602
HI  alpha       196.000       866.73864
HI  alpha       197.000       853.63442
HI  alpha       198.000       840.79934
HI  alpha       199.000       828.22144
HI  alpha       200.000       815.88876
HI  alpha       201.000       803.80130
HI  alpha       202.000       791.95308
HI  alpha       203.000       780.33213
HI  alpha       204.000       768.94443
HI  alpha       205.000       757.76607
HI  alpha       206.000       746.82097
HI  alpha       207.000       736.06725
HI  alpha       208.000       725.52885
HI  alpha       209.000       715.19380
HI  alpha       210.000       705.04416
HI  alpha       211.000       695.09189
HI  alpha       212.000       685.32503
HI  alpha       213.000       675.74358
HI  alpha       214.000       666.32959
HI  alpha       215.000       657.10101
HI  alpha       216.000       648.03392
HI  alpha       217.000       639.14028
HI  alpha       218.000       630.40812
HI  alpha       219.000       621.82548
HI  alpha       220.000       613.40433
HI  alpha       221.000       605.13270
HI  alpha       222.000       597.01060
HI  alpha       223.000       589.03801
HI  alpha       224.000       581.19701
HI  alpha       225.000       573.49955
HI  alpha       226.000       565.93966
HI  alpha       227.000       558.50536
HI  alpha       228.000       551.20264
HI  alpha       229.000       544.03749
HI  alpha       230.000       536.97999
HI  alpha       231.000       530.05407
HI  alpha       232.000       523.24179
HI  alpha       233.000       516.54913
HI  alpha       234.000       509.97010
HI  alpha       235.000       503.49873
HI  alpha       236.000       497.14100
HI  alpha       237.000       490.89093
HI  alpha       238.000       484.73655
HI  alpha       239.000       478.68983
HI  alpha       240.000       472.74478
HI  alpha       241.000       466.90141
HI  alpha       242.000       461.14178
HI  alpha       243.000       455.48382
HI  alpha       244.000       449.92155
HI  alpha       245.000       444.44900
HI  alpha       246.000       439.05420
HI  alpha       247.000       433.75509
HI  alpha       248.000       428.54570
HI  alpha       249.000       423.40808
HI  alpha       250.000       418.36017
HI  alpha       251.000       413.38404
HI  alpha       252.000       408.49762
HI  alpha       253.000       403.68297
HI  alpha       254.000       398.94009
HI  alpha       255.000       394.27496
HI  alpha       256.000       389.68161
HI  alpha       257.000       385.16002
HI  alpha       258.000       380.70423
HI  alpha       259.000       376.32320
HI  alpha       260.000       372.00496
HI  alpha       261.000       367.75252
HI  alpha       262.000       363.56886
HI  alpha       263.000       359.44202
HI  alpha       264.000       355.38097
HI  alpha       265.000       351.37972
HI  alpha       266.000       347.44128
HI  alpha       267.000       343.55965
HI  alpha       268.000       339.73186
HI  alpha       269.000       335.96686
HI  alpha       270.000       332.25270
HI  alpha       271.000       328.59536
HI  alpha       272.000       324.99185
HI  alpha       273.000       321.44217
HI  alpha       274.000       317.93734
HI  alpha       275.000       314.48934
HI  alpha       276.000       311.09217
HI  alpha       277.000       307.73687
HI  alpha       278.000       304.43838
HI  alpha       279.000       301.17877
HI  alpha       280.000       297.97000
HI  alpha       281.000       294.80609
HI  alpha       282.000       291.68704
HI  alpha       283.000       288.60985
HI  alpha       284.000       285.57751
HI  alpha       285.000       282.58705
HI  alpha       286.000       279.63845
HI  alpha       287.000       276.73172
HI  alpha       288.000       273.86386
HI  alpha       289.000       271.03488
HI  alpha       290.000       268.24478
HI  alpha       291.000       265.49654
HI  alpha       292.000       262.77820
HI  alpha       293.000       260.10473
HI  alpha       294.000       257.46415
HI  alpha       295.000       254.85646
HI  alpha       296.000       252.29064
HI  alpha       297.000       249.75174
HI  alpha       298.000       247.25171
HI  alpha       299.000       244.78158
HI  alpha       300.000       242.34734
HI  alpha       301.000       239.94301
HI  alpha       302.000       237.57157
HI  alpha       303.000       235.23302
HI  alpha       304.000       232.92139
HI  alpha       305.000       230.63967
HI  alpha       306.000       228.39084
HI  alpha       307.000       226.17191
HI  alpha       308.000       223.97691
HI  alpha       309.000       221.81480
HI  alpha       310.000       219.67662
HI  alpha       311.000       217.56834
HI  alpha       312.000       215.48698
HI  alpha       313.000       213.43253
HI  alpha       314.000       211.40200
HI  alpha       315.000       209.39839
HI  alpha       316.000       207.41870
HI  alpha       317.000       205.46593
HI  alpha       318.000       203.53708
HI  alpha       319.000       201.63215
HI  alpha       320.000       199.74816
HI  alpha       321.000       197.89407
HI  alpha       322.000       196.05493
HI  alpha       323.000       194.24570
HI  alpha       324.000       192.45142
HI  alpha       325.000       190.68705
HI  alpha       326.000       188.93762
HI  alpha       327.000       187.21512
HI  alpha       328.000       185.50756
HI  alpha       329.000       183.82393
HI  alpha       330.000       182.16422
HI  alpha       331.000       180.51647
HI  alpha       332.000       178.89265
HI  alpha       333.000       177.28976
HI  alpha       334.000       175.70481
HI  alpha       335.000       174.13781
HI  alpha       336.000       172.59174
HI  alpha       337.000       171.05763
HI  alpha       338.000       169.55044
HI  alpha       339.000       168.05520
HI  alpha       340.000       166.57791
HI  alpha       341.000       165.11856
HI  alpha       342.000       163.67716
HI  alpha       343.000       162.25370
HI  alpha       344.000       160.84220
HI  alpha       345.000       159.45163
HI  alpha       346.000       158.07303
HI  alpha       347.000       156.71536
HI  alpha       348.000       155.36666
HI  alpha       349.000       154.03889
HI  alpha       350.000       152.72308
HI  alpha       351.000       151.42522
HI  alpha       352.000       150.13633
HI  alpha       353.000       148.86837
HI  alpha       354.000       147.61238
HI  alpha       355.000       146.37134
HI  alpha       356.000       145.14225
HI  alpha       357.000       143.92513
HI  alpha       358.000       142.72596
HI  alpha       359.000       141.53874
HI  alpha       360.000       140.36349
HI  alpha       361.000       139.20319
HI  alpha       362.000       138.05186
HI  alpha       363.000       136.91698
HI  alpha       364.000       135.79256
HI  alpha       365.000       134.68160
HI  alpha       366.000       133.58261
HI  alpha       367.000       132.49408
HI  alpha       368.000       131.41901
HI  alpha       369.000       130.35590
HI  alpha       370.000       129.30176
HI  alpha       371.000       128.26107
HI  alpha       372.000       127.22936
HI  alpha       373.000       126.21261
HI  alpha       374.000       125.20183
HI  alpha       375.000       124.20600
HI  alpha       376.000       123.21765
HI  alpha       377.000       122.24276
HI  alpha       378.000       121.27535
HI  alpha       379.000       120.31840
HI  alpha       380.000       119.37341
HI  alpha       381.000       118.43590
HI  alpha       382.000       117.51035
HI  alpha       383.000       116.59377
HI  alpha       384.000       115.68617
HI  alpha       385.000       114.78753
HI  alpha       386.000       113.90086
HI  alpha       387.000       113.01867
HI  alpha       388.000       112.14994
HI  alpha       389.000       111.28719
HI  alpha       390.000       110.43640
HI  alpha       391.000       109.59010
HI  alpha       392.000       108.75576
HI  alpha       393.000       107.92890
HI  alpha       394.000       107.10951
HI  alpha       395.000       106.29909
HI  alpha       396.000       105.49765
HI  alpha       397.000       104.70219
HI  alpha       398.000       103.91719
HI  alpha       399.000       103.13817
HI  alpha       400.000       102.36663
HI  alpha       401.000       101.60556
HI  alpha       402.000       100.84897
HI  alpha       403.000       100.10135
HI  alpha       404.000       99.359719
HI  alpha       405.000       98.628550
HI  alpha       406.000       97.900372
HI  alpha       407.000       97.182660
HI  alpha       408.000       96.469434
HI  alpha       409.000       95.766674
HI  alpha       410.000       95.066905
HI  alpha       411.000       94.374613
HI  alpha       412.000       93.691291
HI  alpha       413.000       93.013951
HI  alpha       414.000       92.341096
HI  alpha       415.000       91.675717
HI  alpha       416.000       91.017815
HI  alpha       417.000       90.364398
HI  alpha       418.000       89.719953
HI  alpha       419.000       89.078498
HI  alpha       420.000       88.444519
HI  alpha       421.000       87.816521
HI  alpha       422.000       87.194504
HI  alpha       423.000       86.578468
HI  alpha       424.000       85.968413
HI  alpha       425.000       85.362844
HI  alpha       426.000       84.764751
HI  alpha       427.000       84.171143
HI  alpha       428.000       83.582022
HI  alpha       429.000       83.000376
HI  alpha       430.000       82.423216
HI  alpha       431.000       81.852037
HI  alpha       432.000       81.285344
HI  alpha       433.000       80.723137
HI  alpha       434.000       80.168405
HI  alpha       435.000       79.616664
HI  alpha       436.000       79.070904
HI  alpha       437.000       78.531125
HI  alpha       438.000       77.992841
HI  alpha       439.000       77.463529
HI  alpha       440.000       76.935712
HI  alpha       441.000       76.415371
HI  alpha       442.000       75.898020
HI  alpha       443.000       75.385155
HI  alpha       444.000       74.878271
HI  alpha       445.000       74.374378
HI  alpha       446.000       73.876465
HI  alpha       447.000       73.383038
HI  alpha       448.000       72.892602
HI  alpha       449.000       72.406651
HI  alpha       450.000       71.925186
HI  alpha       451.000       71.449702
HI  alpha       452.000       70.975713
HI  alpha       453.000       70.509201
HI  alpha       454.000       70.042688
HI  alpha       455.000       69.583652
HI  alpha       456.000       69.126110
HI  alpha       457.000       68.674550
HI  alpha       458.000       68.227475
HI  alpha       459.000       67.781896
HI  alpha       460.000       67.340802
HI  alpha       461.000       66.904194
HI  alpha       462.000       66.470577
HI  alpha       463.000       66.042940
HI  alpha       464.000       65.616799
HI  alpha       465.000       65.193648
HI  alpha       466.000       64.776478
HI  alpha       467.000       64.360803
HI  alpha       468.000       63.949614
HI  alpha       469.000       63.542911
HI  alpha       470.000       63.137703
HI  alpha       471.000       62.736980
HI  alpha       472.000       62.340744
HI  alpha       473.000       61.944507
HI  alpha       474.000       61.555746
HI  alpha       475.000       61.166986
HI  alpha       476.000       60.782711
HI  alpha       477.000       60.401427
HI  alpha       478.000       60.023133
HI  alpha       479.000       59.649325
HI  alpha       480.000       59.278507
HI  alpha       481.000       58.907689
HI  alpha       482.000       58.544347
HI  alpha       483.000       58.181006
HI  alpha       484.000       57.820655
HI  alpha       485.000       57.464789
HI  alpha       486.000       57.111914
HI  alpha       487.000       56.759039
HI  alpha       488.000       56.413641
HI  alpha       489.000       56.066747
HI  alpha       490.000       55.725834
HI  alpha       491.000       55.386416
HI  alpha       492.000       55.048493
HI  alpha       493.000       54.715056
HI  alpha       494.000       54.384610
HI  alpha       495.000       54.054163
HI  alpha       496.000       53.729698
HI  alpha       497.000       53.406727
HI  alpha       498.000       53.085252
HI  alpha       499.000       52.766768
HI  alpha       500.000       52.451274
HI  alpha       501.000       52.138770
HI  alpha       502.000       51.827761
HI  alpha       503.000       51.518248
HI  alpha       504.000       51.214716
HI  alpha       505.000       50.909688
HI  alpha       506.000       50.609147
HI  alpha       507.000       50.311595
HI  alpha       508.000       50.014044
HI  alpha       509.000       49.720978
HI  alpha       510.000       49.429408
HI  alpha       511.000       49.139333
HI  alpha       512.000       48.852248
HI  alpha       513.000       48.568154
HI  alpha       514.000       48.284807
HI  alpha       515.000       48.005199
HI  alpha       516.000       47.726338
HI  alpha       517.000       47.449720
