#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  gamma       186.000       2994.7333
CI  gamma       187.000       2947.3168
CI  gamma       188.000       2900.8995
CI  gamma       189.000       2855.4517
CI  gamma       190.000       2810.9494
CI  gamma       191.000       2767.3685
CI  gamma       192.000       2724.6793
CI  gamma       193.000       2682.8697
CI  gamma       194.000       2641.9098
CI  gamma       195.000       2601.7757
CI  gamma       196.000       2562.4494
CI  gamma       197.000       2523.9130
CI  gamma       198.000       2486.1485
CI  gamma       199.000       2449.1320
CI  gamma       200.000       2412.8456
CI  gamma       201.000       2377.2712
CI  gamma       202.000       2342.3970
CI  gamma       203.000       2308.1929
CI  gamma       204.000       2274.6650
CI  gamma       205.000       2241.7715
CI  gamma       206.000       2209.5182
CI  gamma       207.000       2177.8752
CI  gamma       208.000       2146.8367
CI  gamma       209.000       2116.3845
CI  gamma       210.000       2086.5009
CI  gamma       211.000       2057.1857
CI  gamma       212.000       2028.4091
CI  gamma       213.000       2000.1710
CI  gamma       214.000       1972.4475
CI  gamma       215.000       1945.2446
CI  gamma       216.000       1918.5384
CI  gamma       217.000       1892.3169
CI  gamma       218.000       1866.5681
CI  gamma       219.000       1841.2801
CI  gamma       220.000       1816.4529
CI  gamma       221.000       1792.0744
CI  gamma       222.000       1768.1268
CI  gamma       223.000       1744.6040
CI  gamma       224.000       1721.4941
CI  gamma       225.000       1698.7912
CI  gamma       226.000       1676.4831
CI  gamma       227.000       1654.5700
CI  gamma       228.000       1633.0339
CI  gamma       229.000       1611.8748
CI  gamma       230.000       1591.0687
CI  gamma       231.000       1570.6277
CI  gamma       232.000       1550.5337
CI  gamma       233.000       1530.7808
CI  gamma       234.000       1511.3630
CI  gamma       235.000       1492.2743
CI  gamma       236.000       1473.5028
CI  gamma       237.000       1455.0424
CI  gamma       238.000       1436.8872
CI  gamma       239.000       1419.0432
CI  gamma       240.000       1401.4864
CI  gamma       241.000       1384.2168
CI  gamma       242.000       1367.2285
CI  gamma       243.000       1350.5274
CI  gamma       244.000       1334.0896
CI  gamma       245.000       1317.9151
CI  gamma       246.000       1302.0038
CI  gamma       247.000       1286.3499
CI  gamma       248.000       1270.9473
CI  gamma       249.000       1255.7781
CI  gamma       250.000       1240.8602
CI  gamma       251.000       1226.1757
CI  gamma       252.000       1211.7245
CI  gamma       253.000       1197.4948
CI  gamma       254.000       1183.4864
CI  gamma       255.000       1169.6995
CI  gamma       256.000       1156.1220
CI  gamma       257.000       1142.7569
CI  gamma       258.000       1129.5953
CI  gamma       259.000       1116.6372
CI  gamma       260.000       1103.8765
CI  gamma       261.000       1091.3073
CI  gamma       262.000       1078.9295
CI  gamma       263.000       1066.7343
CI  gamma       264.000       1054.7276
CI  gamma       265.000       1042.9004
CI  gamma       266.000       1031.2467
CI  gamma       267.000       1019.7666
CI  gamma       268.000       1008.4540
CI  gamma       269.000       997.31194
CI  gamma       270.000       986.33146
CI  gamma       271.000       975.51553
CI  gamma       272.000       964.85220
CI  gamma       273.000       954.34445
CI  gamma       274.000       943.98928
CI  gamma       275.000       933.78372
CI  gamma       276.000       923.72775
CI  gamma       277.000       913.80942
CI  gamma       278.000       904.03769
CI  gamma       279.000       894.40059
CI  gamma       280.000       884.90412
CI  gamma       281.000       875.53930
CI  gamma       282.000       866.30612
CI  gamma       283.000       857.20160
CI  gamma       284.000       848.22573
CI  gamma       285.000       839.37552
CI  gamma       286.000       830.64798
CI  gamma       287.000       822.04012
CI  gamma       288.000       813.54895
CI  gamma       289.000       805.17745
CI  gamma       290.000       796.91666
CI  gamma       291.000       788.77255
CI  gamma       292.000       780.73616
CI  gamma       293.000       772.81046
CI  gamma       294.000       764.99248
CI  gamma       295.000       757.27622
CI  gamma       296.000       749.66768
CI  gamma       297.000       742.15487
CI  gamma       298.000       734.74679
CI  gamma       299.000       727.43445
CI  gamma       300.000       720.22084
CI  gamma       301.000       713.10297
CI  gamma       302.000       706.07786
CI  gamma       303.000       699.14250
CI  gamma       304.000       692.29691
CI  gamma       305.000       685.54406
CI  gamma       306.000       678.87798
CI  gamma       307.000       672.29867
CI  gamma       308.000       665.80014
CI  gamma       309.000       659.38837
CI  gamma       310.000       653.05739
CI  gamma       311.000       646.81019
CI  gamma       312.000       640.64077
CI  gamma       313.000       634.54915
CI  gamma       314.000       628.53232
CI  gamma       315.000       622.59329
CI  gamma       316.000       616.72905
CI  gamma       317.000       610.93962
CI  gamma       318.000       605.21900
CI  gamma       319.000       599.57317
CI  gamma       320.000       593.99318
CI  gamma       321.000       588.48797
CI  gamma       322.000       583.04261
CI  gamma       323.000       577.67205
CI  gamma       324.000       572.36133
CI  gamma       325.000       567.12241
CI  gamma       326.000       561.94034
CI  gamma       327.000       556.82410
CI  gamma       328.000       551.77068
CI  gamma       329.000       546.77711
CI  gamma       330.000       541.84337
CI  gamma       331.000       536.96648
CI  gamma       332.000       532.15242
CI  gamma       333.000       527.39521
CI  gamma       334.000       522.69485
CI  gamma       335.000       518.04534
CI  gamma       336.000       513.45568
CI  gamma       337.000       508.91688
CI  gamma       338.000       504.43493
CI  gamma       339.000       500.00085
CI  gamma       340.000       495.62063
CI  gamma       341.000       491.29426
CI  gamma       342.000       487.01576
CI  gamma       343.000       482.78813
CI  gamma       344.000       478.60537
CI  gamma       345.000       474.47647
CI  gamma       346.000       470.38946
CI  gamma       347.000       466.35331
CI  gamma       348.000       462.35905
CI  gamma       349.000       458.41565
CI  gamma       350.000       454.51114
CI  gamma       351.000       450.65451
CI  gamma       352.000       446.83977
CI  gamma       353.000       443.07289
CI  gamma       354.000       439.34491
CI  gamma       355.000       435.65583
CI  gamma       356.000       432.00864
CI  gamma       357.000       428.40333
CI  gamma       358.000       424.83991
CI  gamma       359.000       421.31538
CI  gamma       360.000       417.82676
CI  gamma       361.000       414.37853
CI  gamma       362.000       410.96620
CI  gamma       363.000       407.59427
CI  gamma       364.000       404.25824
CI  gamma       365.000       400.95811
CI  gamma       366.000       397.69388
CI  gamma       367.000       394.46556
CI  gamma       368.000       391.27165
CI  gamma       369.000       388.11214
CI  gamma       370.000       384.98405
CI  gamma       371.000       381.89336
CI  gamma       372.000       378.83259
CI  gamma       373.000       375.80772
CI  gamma       374.000       372.81128
CI  gamma       375.000       369.85073
CI  gamma       376.000       366.91862
CI  gamma       377.000       364.01792
CI  gamma       378.000       361.14713
CI  gamma       379.000       358.30627
CI  gamma       380.000       355.49682
CI  gamma       381.000       352.71580
CI  gamma       382.000       349.96469
CI  gamma       383.000       347.24052
CI  gamma       384.000       344.54626
CI  gamma       385.000       341.87744
CI  gamma       386.000       339.23853
CI  gamma       387.000       336.62356
CI  gamma       388.000       334.04000
CI  gamma       389.000       331.47889
CI  gamma       390.000       328.94620
CI  gamma       391.000       326.43744
CI  gamma       392.000       323.95561
CI  gamma       393.000       321.49772
CI  gamma       394.000       319.06526
CI  gamma       395.000       316.65674
CI  gamma       396.000       314.27364
CI  gamma       397.000       311.91299
CI  gamma       398.000       309.57627
CI  gamma       399.000       307.26349
CI  gamma       400.000       304.97314
CI  gamma       401.000       302.70674
CI  gamma       402.000       300.45978
CI  gamma       403.000       298.23825
CI  gamma       404.000       296.03617
CI  gamma       405.000       293.85803
CI  gamma       406.000       291.69783
CI  gamma       407.000       289.56307
CI  gamma       408.000       287.44626
CI  gamma       409.000       285.35040
CI  gamma       410.000       283.27398
CI  gamma       411.000       281.22000
CI  gamma       412.000       279.18547
CI  gamma       413.000       277.16889
CI  gamma       414.000       275.17176
CI  gamma       415.000       273.19408
CI  gamma       416.000       271.23734
CI  gamma       417.000       269.29705
CI  gamma       418.000       267.37622
CI  gamma       419.000       265.47184
CI  gamma       420.000       263.58690
CI  gamma       421.000       261.71992
CI  gamma       422.000       259.87089
CI  gamma       423.000       258.03832
CI  gamma       424.000       256.22370
CI  gamma       425.000       254.42553
CI  gamma       426.000       252.64382
CI  gamma       427.000       250.87857
CI  gamma       428.000       249.12977
CI  gamma       429.000       247.39892
CI  gamma       430.000       245.68303
CI  gamma       431.000       243.98211
CI  gamma       432.000       242.29763
CI  gamma       433.000       240.62812
CI  gamma       434.000       238.97507
CI  gamma       435.000       237.33697
CI  gamma       436.000       235.71234
CI  gamma       437.000       234.10416
CI  gamma       438.000       232.50795
CI  gamma       439.000       230.92969
CI  gamma       440.000       229.36341
CI  gamma       441.000       227.81208
CI  gamma       442.000       226.27421
CI  gamma       443.000       224.74981
CI  gamma       444.000       223.24037
CI  gamma       445.000       221.74439
CI  gamma       446.000       220.26187
CI  gamma       447.000       218.79133
CI  gamma       448.000       217.33275
CI  gamma       449.000       215.88913
CI  gamma       450.000       214.45748
CI  gamma       451.000       213.04079
CI  gamma       452.000       211.63307
CI  gamma       453.000       210.24031
CI  gamma       454.000       208.85653
CI  gamma       455.000       207.48771
CI  gamma       456.000       206.13086
CI  gamma       457.000       204.78598
CI  gamma       458.000       203.45156
CI  gamma       459.000       202.12762
CI  gamma       460.000       200.81565
CI  gamma       461.000       199.51714
CI  gamma       462.000       198.22910
CI  gamma       463.000       196.95154
CI  gamma       464.000       195.68444
CI  gamma       465.000       194.42782
CI  gamma       466.000       193.18317
